"PROBEID","drug","logFC","adjP","direction","gene_id"
"201218_at","mebendazole",-0.270645920845756,0.00938504889875347,"Down","CTBP2"
"201219_at","mebendazole",-0.223345057148814,0.00269387551001907,"Down","CTBP2"
"201226_at","mebendazole",-0.190495703980789,0.00692177096025521,"Down","NDUFB8"
"201227_s_at","mebendazole",-0.216853992113022,0.0091189343677369,"Down","NDUFB8"
"201229_s_at","mebendazole",0.192221734513495,0.000347341019632586,"Up","ARIH2"
"201230_s_at","mebendazole",0.162743765520333,0.00353783520998555,"Up","ARIH2"
"201231_s_at","mebendazole",0.210336412606349,0.0443701968469155,"Up","ENO1"
"201234_at","mebendazole",0.6676696327058,4.34533296844651e-08,"Up","ILK"
"201241_at","mebendazole",-0.15866977487491,0.0276761170445692,"Down","DDX1"
"201248_s_at","mebendazole",-0.212086117037049,0.00866923306304985,"Down","SREBF2"
"201261_x_at","mebendazole",-0.30577738700726,0.0302034743805447,"Down","BGN"
"201263_at","mebendazole",0.305029443820548,0.00113327541375882,"Up","TARS1"
"201268_at","mebendazole",0.474832481347134,6.96100649947525e-05,"Up","NME2"
"201269_s_at","mebendazole",-0.106225105160427,0.00447811130894499,"Down","NUDCD3"
"201272_at","mebendazole",0.392669547049211,0.00657220844200093,"Up","AKR1B1"
"201275_at","mebendazole",-0.310070544028621,8.96839537925445e-05,"Down","FDPS"
"201276_at","mebendazole",-0.21605608032756,0.00419823451884095,"Down","RAB5B"
"201285_at","mebendazole",-0.1636033324913,0.0282240317283427,"Down","MKRN1"
"201289_at","mebendazole",0.940975372552138,3.44301322983171e-09,"Up","CCN1"
"201291_s_at","mebendazole",-0.49174440721524,0.000275648983710671,"Down","TOP2A"
"201292_at","mebendazole",-0.629785595994593,1.02291218223369e-08,"Down","TOP2A"
"201294_s_at","mebendazole",-0.271126008662259,0.0396629150036876,"Down","WSB1"
"201300_s_at","mebendazole",0.478442212875943,5.39090054181179e-05,"Up","PRNP"
"201309_x_at","mebendazole",-0.302397837513484,0.0445195417481584,"Down","NREP"
"201310_s_at","mebendazole",-0.592021112075683,0.000120357084482103,"Down","NREP"
"201311_s_at","mebendazole",-0.535633879861829,9.37494312086795e-05,"Down","SH3BGRL"
"201312_s_at","mebendazole",-0.703417683937354,4.22452820693915e-06,"Down","SH3BGRL"
"201316_at","mebendazole",-0.190586415000374,0.0090672504882177,"Down","PSMA2"
"201317_s_at","mebendazole",-0.29288235858388,0.000189640876671412,"Down","PSMA2"
"201318_s_at","mebendazole",0.330601206655626,3.55661249602469e-05,"Up","MYL12A"
"201319_at","mebendazole",0.156871287491744,0.0249373599614972,"Up","MYL12A"
"201320_at","mebendazole",-0.131757708365845,0.0256050040178812,"Down","SMARCC2"
"201326_at","mebendazole",0.205386911151363,0.00922758324733432,"Up","CCT6A"
"201338_x_at","mebendazole",0.303941082420007,0.0024035726346502,"Up","GTF3A"
"201364_s_at","mebendazole",-0.197364227982853,0.0102419302354157,"Down","OAZ2"
"201365_at","mebendazole",-0.288981205479832,5.89636873853587e-06,"Down","OAZ2"
"201366_at","mebendazole",-0.164887388873941,0.0478924818385053,"Down","ANXA7"
"201368_at","mebendazole",-0.268750430478141,0.0236774506286479,"Down","ZFP36L2"
"201370_s_at","mebendazole",0.14468325783788,0.00380179990399275,"Up","CUL3"
"201375_s_at","mebendazole",0.334390756751605,0.000475547905722186,"Up","PPP2CB"
"201377_at","mebendazole",-0.216937972325057,0.0141015798656489,"Down","UBAP2L"
"201379_s_at","mebendazole",0.250407294695941,0.0260520118658684,"Up","TPD52L2"
"201384_s_at","mebendazole",-0.19496116808184,0.0206682138142245,"Down","NBR1"
"201387_s_at","mebendazole",0.689268309803853,0.00623653703056212,"Up","UCHL1"
"201389_at","mebendazole",0.406000490480856,8.86795903854547e-06,"Up","ITGA5"
"201397_at","mebendazole",0.258989756181874,0.000805140426857708,"Up","PHGDH"
"201410_at","mebendazole",0.220847653468253,0.00691918898890809,"Up","PLEKHB2"
"201411_s_at","mebendazole",0.376861975436478,0.00137186683597527,"Up","PLEKHB2"
"201413_at","mebendazole",-0.299169204822417,0.00387741898253361,"Down","HSD17B4"
"201416_at","mebendazole",-0.200042326155122,0.0443388196231772,"Down","SOX4"
"201421_s_at","mebendazole",-0.161923339287641,0.00363704397249839,"Down","WDR77"
"201422_at","mebendazole",-0.273083475883409,0.0110274041139936,"Down","IFI30"
"201432_at","mebendazole",-0.207114300498292,0.025666585922552,"Down","CAT"
"201433_s_at","mebendazole",0.235778616279052,0.0344662603112668,"Up","PTDSS1"
"201434_at","mebendazole",-0.220730855145968,0.00135690902077097,"Down","TTC1"
"201438_at","mebendazole",-0.559223153098708,0.000312746042020947,"Down","COL6A3"
"201439_at","mebendazole",-0.181315216985836,0.00629763580493134,"Down","GBF1"
"201440_at","mebendazole",-0.179290808970044,0.0043177685731881,"Down","DDX23"
"201448_at","mebendazole",-0.173972764858103,0.0249425351893908,"Down","TIA1"
"201449_at","mebendazole",-0.155288859176474,0.0195873981503566,"Down","TIA1"
"201453_x_at","mebendazole",0.268944478900089,0.00198430981530963,"Up","RHEB"
"201462_at","mebendazole",0.197281098443426,0.0165830064176801,"Up","SCRN1"
"201464_x_at","mebendazole",0.843609995013124,1.96773419520644e-14,"Up","JUN"
"201465_s_at","mebendazole",0.559717451521002,1.30606355724865e-05,"Up","JUN"
"201466_s_at","mebendazole",1.13797719570748,2.16775208980974e-22,"Up","JUN"
"201473_at","mebendazole",-0.246208738359526,0.0306461719770636,"Down","JUNB"
"201475_x_at","mebendazole",0.26658515016437,0.00147691206334249,"Up","MARS1"
"201478_s_at","mebendazole",0.17763482263787,0.0223874699571431,"Up","DKC1"
"201479_at","mebendazole",0.136328981749961,0.0460582867922699,"Up","DKC1"
"201485_s_at","mebendazole",-0.237219054167656,0.0404392426248902,"Down","RCN2"
"201487_at","mebendazole",-0.32135296081767,0.0474367791945798,"Down","CTSC"
"201489_at","mebendazole",0.375820282769064,0.00314097397399054,"Up","PPIF"
"201490_s_at","mebendazole",0.457827206306322,0.000745603632589688,"Up","PPIF"
"201491_at","mebendazole",0.297440544151635,0.000221486529483634,"Up","AHSA1"
"201494_at","mebendazole",-0.292153615702837,0.00457821408736142,"Down","PRCP"
"201498_at","mebendazole",0.30337748295515,0.000798559549745725,"Up","USP7"
"201504_s_at","mebendazole",-0.186149629399652,0.0288437028343674,"Down","TSN"
"201505_at","mebendazole",-0.303592732388339,0.016619250299935,"Down","LAMB1"
