"PROBEID","drug","logFC","adjP","direction","gene_id"
"201070_x_at","Vorinostat",0.546454177981019,3.78224456124438e-10,"Up","SF3B1"
"201071_x_at","Vorinostat",0.130396240383313,0.0221549176587271,"Up","SF3B1"
"201072_s_at","Vorinostat",-0.281962540782444,0.0051501081194465,"Down","SMARCC1"
"201073_s_at","Vorinostat",-0.58870243706071,2.12517179549856e-12,"Down","SMARCC1"
"201074_at","Vorinostat",-0.677482285655596,1.78753804693357e-17,"Down","SMARCC1"
"201075_s_at","Vorinostat",-0.823780447460579,3.34876071821974e-23,"Down","SMARCC1"
"201077_s_at","Vorinostat",0.505094900986595,2.09450054960301e-12,"Up","SNU13"
"201078_at","Vorinostat",0.31495521713709,8.23272632399846e-06,"Up","TM9SF2"
"201079_at","Vorinostat",0.702442075380975,1.33681893984103e-13,"Up","SYNGR2"
"201081_s_at","Vorinostat",-0.343790790507022,4.61608990925207e-08,"Down","PIP4K2B"
"201083_s_at","Vorinostat",-0.376777597905563,1.06347280759083e-05,"Down","BCLAF1"
"201084_s_at","Vorinostat",-0.535899908964598,6.95969918492193e-09,"Down","BCLAF1"
"201085_s_at","Vorinostat",-0.321911635298317,0.00662958885613574,"Down","SON"
"201086_x_at","Vorinostat",-0.580791074422384,4.94714866400553e-16,"Down","SON"
"201093_x_at","Vorinostat",0.625196716347752,1.01214545592754e-14,"Up","SDHA"
"201094_at","Vorinostat",0.0912252927165522,0.00208876436497552,"Up","RPS29"
"201095_at","Vorinostat",0.19587403650802,0.0407803840644453,"Up","DAP"
"201097_s_at","Vorinostat",0.230755082957385,0.000264823550350885,"Up","ARF4"
"201098_at","Vorinostat",0.361300640440552,4.7446743856924e-06,"Up","COPB2"
"201100_s_at","Vorinostat",0.208592630125309,0.00105751870500287,"Up","USP9X"
"201101_s_at","Vorinostat",-0.300100180893722,0.0231831959862227,"Down","BCLAF1"
"201103_x_at","Vorinostat",0.167359212793424,0.0333953423660833,"Up","NBPF12"
"201104_x_at","Vorinostat",0.299493124376839,0.000140149922727284,"Up","NBPF14"
"201106_at","Vorinostat",0.252254056087593,0.00177916710529641,"Up","GPX4"
"201108_s_at","Vorinostat",-0.712700785360171,2.79920680308612e-09,"Down","THBS1"
"201109_s_at","Vorinostat",-0.915460770827435,1.1595639950539e-09,"Down","THBS1"
"201110_s_at","Vorinostat",-0.81617018077832,1.45959668668534e-07,"Down","THBS1"
"201113_at","Vorinostat",0.853543903459238,4.80172542624981e-30,"Up","TUFM"
